logFC	AveExpr	t	P.Value	adj.P.Val	B
CD46	0.786071588235291	9.11399703703704	5.26614943843851	1.34472864711194e-05	0.0175783398665324	3.15379199819804
CYB561D1	0.595382882352941	6.0679162962963	5.22483124692014	1.50523180128008e-05	0.0175783398665324	3.05278174220754
SNORD67	-0.500121352941179	5.22673222222222	-5.2211595090183	1.52039317997094e-05	0.0175783398665324	3.04380175447691
BMS1	0.654979294117649	5.44606962962963	5.18360475165354	1.68454151821833e-05	0.0175783398665324	2.95192113509546
RPS17	0.934938235294116	10.5735151851852	5.16443272211866	1.77507891002196e-05	0.0175783398665324	2.90499336135661
PDK2	-0.446581470588235	7.26574592592593	-5.15300447672791	1.83135198338187e-05	0.0175783398665324	2.87701356079643
LOC100507646	-0.480358647058821	6.97072703703704	-5.14541062829257	1.86972995187811e-05	0.0175783398665324	2.8584188713901
COX7A2L	0.822378588235296	9.12057407407407	5.11595179224629	2.02639491268439e-05	0.0175783398665324	2.78626531236983
FAM45A /// FAM45B	0.592605352941177	5.98444111111111	5.11227227745086	2.04686543386213e-05	0.0175783398665324	2.77725102149774
CCDC155	-0.421504058823531	5.94474444444444	-5.09024585282248	2.17381301426074e-05	0.0175783398665324	2.72328041585305
C16orf72	0.637430529411761	9.51838185185185	5.07875357741979	2.24314895676225e-05	0.0175783398665324	2.69511542373172
NDUFB2	1.04665364705882	8.06774185185185	5.07434846033732	2.27030968137161e-05	0.0175783398665324	2.68431845098361
RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C	0.619932941176472	12.1515518518519	5.0666680978801	2.31845478461455e-05	0.0175783398665324	2.66549251897703
TBC1D12	0.701660529411764	4.53110074074074	5.06574228797536	2.32432694522683e-05	0.0175783398665324	2.66322308393507
PFKFB2	1.44591005882353	6.17755518518519	5.06050597097221	2.35782093406002e-05	0.0175783398665324	2.65038687592685
LINC00623 /// LINC00869 /// LOC105376793 /// LOC105376796 /// LOC105376805	1.10624552941177	8.26654703703704	5.0595672308057	2.3638764561598e-05	0.0175783398665324	2.64808558784025
ATP5A1	1.79393170588235	7.02864444444444	5.05718138236727	2.37933700536932e-05	0.0175783398665324	2.64223665947131
SNORA71A	-0.657984117647059	12.5222962962963	-5.05336882959446	2.40425319777354e-05	0.0175783398665324	2.63288984047888
MRPL47	0.796038000000002	7.28469888888889	5.02278356844968	2.61382679567947e-05	0.0186076953886108	2.55789409031941
CCND2	1.35671294117647	10.3792533333333	5.01180742888649	2.69341512513073e-05	0.0186826322987273	2.53097499934179
ACAA2	1.54859794117647	5.64414185185185	4.99690713067022	2.80535247274228e-05	0.0186918376402471	2.49442774995108
LARP4B	0.860409000000002	8.32486	4.99332702807534	2.83293413888117e-05	0.0186918376402471	2.48564585197723
USP3	0.769701411764707	8.50668518518519	4.97433749538599	2.98383294643786e-05	0.0192187259207231	2.43906097943882
MYCL	0.917680941176472	6.22714888888889	4.9638333495299	3.07073025921783e-05	0.0193184639470606	2.41328961479509
TLN1	-0.788233176470591	9.65809296296296	-4.94877600860106	3.19972752781726e-05	0.0195398851166268	2.37634415840702
ZNF625	-0.513803411764708	4.90846185185185	-4.94302806333634	3.25038751385556e-05	0.0195398851166268	2.36223982577284
SLC12A3	-0.502479058823529	4.6510637037037	-4.92384063709391	3.42537582627676e-05	0.0196154740795421	2.31515447509508
SCARNA8	-0.707289176470585	5.60769222222222	-4.92010210127177	3.46055183775485e-05	0.0196154740795421	2.30597970477153
MLEC	0.465284705882354	11.013362962963	4.90643812985523	3.59221592281264e-05	0.0196154740795421	2.27244557355153
HOOK1	1.00419094117647	7.20331962962963	4.90549053957845	3.60153025482255e-05	0.0196154740795421	2.27011992758098
RGL2	1.02098970588235	5.11483962962963	4.90306191695461	3.6255127309519e-05	0.0196154740795421	2.26415938460272
AVEN	0.852464764705882	5.18795592592593	4.88957398542374	3.76163877981683e-05	0.0199529122101186	2.23105516833276
C7orf73 /// SLC13A4	-0.510484058823529	5.58921888888889	-4.8750885846621	3.9135238326431e-05	0.0203593551385887	2.19550129747874
ZNF511	0.625283705882351	7.49929185185185	4.83357763466275	4.38356670622882e-05	0.0219702978760418	2.0936088047069
SYNJ2BP /// SYNJ2BP-COX16	0.798829529411769	9.59919925925926	4.8319619413834	4.40296004153681e-05	0.0219702978760418	2.08964285315686
HOXA7	1.48280588235294	6.79095148148148	4.81956226317011	4.55467381636023e-05	0.0219702978760418	2.05920605121468
SON	0.624211941176467	8.76694666666667	4.81914138694332	4.5599139295233e-05	0.0219702978760418	2.05817295103782
OSGEP	0.745390176470588	6.96743925925926	4.8136167861764	4.62925838730735e-05	0.0219702978760418	2.044612058238
AMDHD2	-0.385701764705883	7.01966925925926	-4.79510900273827	4.86932694689064e-05	0.0222052854367562	1.99918265922268
CBWD1 /// CBWD2 /// CBWD3 /// CBWD4P /// CBWD5 /// CBWD6 /// CBWD7	0.675932999999999	8.27475555555556	4.79503181000228	4.87035380984301e-05	0.0222052854367562	1.9989931834603
LOC101927702	-0.288372117647059	6.59727962962963	-4.79094544344408	4.92502264603495e-05	0.0222052854367562	1.98896290467453
KIAA0391 /// PSMA6	0.785689823529408	9.85877740740741	4.76053288605366	5.35159313632587e-05	0.0235833892632209	1.91431606999728
CYP2J2	1.16305423529412	6.08274259259259	4.75689436204598	5.40503524441702e-05	0.0235833892632209	1.90538585603932
APEX1	0.563212411764704	7.31914777777778	4.73597519942776	5.72278177585392e-05	0.0245734432699048	1.85404535469999
NDUFS5	0.635441764705879	10.648627037037	4.72250585797106	5.93715816832133e-05	0.0250072399308561	1.82099104575899
